Variant,Dataset,Resolution,PSNR,SSIM,GateFidelity,InformationLoss
AQIR-ADS,mrifnl,2x2,44.151,0.975,0.98,0.025
AQIR-NoGrad,mrifnl,2x2,41.847,0.979,0.98,0.021
AQIR-FixedRot,mrifnl,2x2,8.217,0.408,0.98,0.592
AQIR-Deep,mrifnl,2x2,37.717,0.863,0.98,0.137
AQIR-ADS,mrifnl,4x4,30.377,0.951,0.887,0.049
AQIR-NoGrad,mrifnl,4x4,32.362,0.96,0.887,0.04
AQIR-FixedRot,mrifnl,4x4,7.91,0.093,0.887,0.907
AQIR-Deep,mrifnl,4x4,25.179,0.844,0.887,0.156
AQIR-ADS,mrifnl,2x2,43.012,0.955,0.98,0.045
AQIR-NoGrad,mrifnl,2x2,42.39,0.965,0.98,0.035
AQIR-FixedRot,mrifnl,2x2,7.748,0.334,0.98,0.666
AQIR-Deep,mrifnl,2x2,37.717,0.921,0.98,0.079
AQIR-ADS,mrifnl,4x4,30.246,0.953,0.887,0.047
AQIR-NoGrad,mrifnl,4x4,32.905,0.973,0.887,0.027
AQIR-FixedRot,mrifnl,4x4,7.344,-0.03,0.887,1.03
AQIR-Deep,mrifnl,4x4,25.511,0.848,0.887,0.152
AQIR-ADS,mrifnl,2x2,45.7,0.972,0.98,0.028
AQIR-NoGrad,mrifnl,2x2,49.38,0.989,0.98,0.011
AQIR-FixedRot,mrifnl,2x2,8.001,0.387,0.98,0.613
AQIR-Deep,mrifnl,2x2,37.162,0.936,0.98,0.064
AQIR-ADS,mrifnl,4x4,28.4,0.935,0.887,0.065
AQIR-NoGrad,mrifnl,4x4,27.414,0.896,0.887,0.104
AQIR-FixedRot,mrifnl,4x4,7.898,-0.096,0.887,1.096
AQIR-Deep,mrifnl,4x4,25.27,0.851,0.887,0.149
AQIR-ADS,sar,2x2,44.609,0.937,0.98,0.063
AQIR-NoGrad,sar,2x2,100.0,1.0,0.98,0.0
AQIR-FixedRot,sar,2x2,6.192,0.023,0.98,0.977
AQIR-Deep,sar,2x2,41.847,0.875,0.98,0.125
AQIR-ADS,sar,4x4,41.307,0.933,0.887,0.067
AQIR-NoGrad,sar,4x4,35.401,0.678,0.887,0.322
AQIR-FixedRot,sar,4x4,6.365,0.005,0.887,0.995
AQIR-Deep,sar,4x4,26.146,0.135,0.887,0.865
AQIR-ADS,sar,2x2,54.151,0.991,0.98,0.009
AQIR-NoGrad,sar,2x2,100.0,1.0,0.98,0.0
AQIR-FixedRot,sar,2x2,6.14,0.023,0.98,0.977
AQIR-Deep,sar,2x2,43.012,0.947,0.98,0.053
AQIR-ADS,sar,4x4,35.386,0.645,0.887,0.355
AQIR-NoGrad,sar,4x4,36.406,0.726,0.887,0.274
AQIR-FixedRot,sar,4x4,6.322,0.012,0.887,0.988
AQIR-Deep,sar,4x4,31.313,0.424,0.887,0.576
AQIR-ADS,sar,2x2,100.0,1.0,0.98,0.0
AQIR-NoGrad,sar,2x2,51.141,0.967,0.98,0.033
AQIR-FixedRot,sar,2x2,6.157,0.012,0.98,0.988
AQIR-Deep,sar,2x2,41.599,0.927,0.98,0.073
AQIR-ADS,sar,4x4,34.432,0.59,0.887,0.41
AQIR-NoGrad,sar,4x4,34.087,0.523,0.887,0.477
AQIR-FixedRot,sar,4x4,6.274,0.007,0.887,0.993
AQIR-Deep,sar,4x4,30.031,0.29,0.887,0.71
AQIR-ADS,sar,2x2,48.131,0.953,0.98,0.047
AQIR-NoGrad,sar,2x2,43.737,0.947,0.98,0.053
AQIR-FixedRot,sar,2x2,6.121,0.01,0.98,0.99
AQIR-Deep,sar,2x2,51.141,0.992,0.98,0.008
AQIR-ADS,sar,4x4,33.698,0.49,0.887,0.51
AQIR-NoGrad,sar,4x4,32.808,0.41,0.887,0.59
AQIR-FixedRot,sar,4x4,6.207,0.008,0.887,0.992
AQIR-Deep,sar,4x4,26.029,0.114,0.887,0.886
AQIR-ADS,sar,2x2,48.131,0.96,0.98,0.04
AQIR-NoGrad,sar,2x2,49.38,0.981,0.98,0.019
AQIR-FixedRot,sar,2x2,6.123,0.012,0.98,0.988
AQIR-Deep,sar,2x2,39.527,0.66,0.98,0.34
AQIR-ADS,sar,4x4,31.013,0.303,0.887,0.697
AQIR-NoGrad,sar,4x4,32.262,0.417,0.887,0.583
AQIR-FixedRot,sar,4x4,6.216,0.005,0.887,0.995
AQIR-Deep,sar,4x4,29.245,0.209,0.887,0.791
AQIR-ADS,sar,2x2,47.162,0.973,0.98,0.027
AQIR-NoGrad,sar,2x2,47.162,0.93,0.98,0.07
AQIR-FixedRot,sar,2x2,6.209,0.012,0.98,0.988
AQIR-Deep,sar,2x2,100.0,1.0,0.98,0.0
AQIR-ADS,sar,4x4,35.533,0.6,0.887,0.4
AQIR-NoGrad,sar,4x4,33.27,0.395,0.887,0.605
AQIR-FixedRot,sar,4x4,6.171,0.006,0.887,0.994
AQIR-Deep,sar,4x4,27.6,0.148,0.887,0.852
AQIR-ADS,sar,2x2,47.162,0.971,0.98,0.029
AQIR-NoGrad,sar,2x2,48.131,0.951,0.98,0.049
AQIR-FixedRot,sar,2x2,6.106,0.008,0.98,0.992
AQIR-Deep,sar,2x2,44.151,0.868,0.98,0.132
AQIR-ADS,sar,4x4,33.315,0.346,0.887,0.654
AQIR-NoGrad,sar,4x4,34.974,0.432,0.887,0.568
AQIR-FixedRot,sar,4x4,6.093,0.003,0.887,0.997
AQIR-Deep,sar,4x4,26.375,0.082,0.887,0.918
AQIR-ADS,sar,2x2,49.38,0.929,0.98,0.071
AQIR-NoGrad,sar,2x2,54.151,0.988,0.98,0.012
AQIR-FixedRot,sar,2x2,6.209,0.008,0.98,0.992
AQIR-Deep,sar,2x2,47.162,0.972,0.98,0.028
AQIR-ADS,sar,4x4,36.158,0.59,0.887,0.41
AQIR-NoGrad,sar,4x4,32.158,0.303,0.887,0.697
AQIR-FixedRot,sar,4x4,6.111,0.005,0.887,0.995
AQIR-Deep,sar,4x4,29.384,0.17,0.887,0.83
AQIR-ADS,sar,2x2,45.121,0.862,0.98,0.138
AQIR-NoGrad,sar,2x2,45.121,0.862,0.98,0.138
AQIR-FixedRot,sar,2x2,6.174,0.019,0.98,0.981
AQIR-Deep,sar,2x2,43.012,0.947,0.98,0.053
AQIR-ADS,sar,4x4,32.248,0.462,0.887,0.538
AQIR-NoGrad,sar,4x4,35.7,0.716,0.887,0.284
AQIR-FixedRot,sar,4x4,6.307,0.008,0.887,0.992
AQIR-Deep,sar,4x4,27.921,0.217,0.887,0.783
AQIR-ADS,sar,2x2,46.37,0.882,0.98,0.118
AQIR-NoGrad,sar,2x2,46.37,0.961,0.98,0.039
AQIR-FixedRot,sar,2x2,6.175,0.023,0.98,0.977
AQIR-Deep,sar,2x2,46.37,0.96,0.98,0.04
AQIR-ADS,sar,4x4,35.053,0.692,0.887,0.308
AQIR-NoGrad,sar,4x4,35.826,0.699,0.887,0.301
AQIR-FixedRot,sar,4x4,6.365,0.011,0.887,0.989
AQIR-Deep,sar,4x4,30.757,0.383,0.887,0.617
AQIR-ADS,sar,2x2,43.737,0.947,0.98,0.053
AQIR-NoGrad,sar,2x2,51.141,0.992,0.98,0.008
AQIR-FixedRot,sar,2x2,6.174,0.012,0.98,0.988
AQIR-Deep,sar,2x2,41.847,0.883,0.98,0.117
AQIR-ADS,sar,4x4,34.467,0.537,0.887,0.463
AQIR-NoGrad,sar,4x4,33.02,0.381,0.887,0.619
AQIR-FixedRot,sar,4x4,6.316,0.005,0.887,0.995
AQIR-Deep,sar,4x4,26.532,0.112,0.887,0.888
AQIR-ADS,sar,2x2,54.151,0.989,0.98,0.011
AQIR-NoGrad,sar,2x2,48.131,0.959,0.98,0.041
AQIR-FixedRot,sar,2x2,6.122,0.012,0.98,0.988
AQIR-Deep,sar,2x2,51.141,0.967,0.98,0.033
AQIR-ADS,sar,4x4,33.64,0.431,0.887,0.569
AQIR-NoGrad,sar,4x4,36.728,0.601,0.887,0.399
AQIR-FixedRot,sar,4x4,6.091,0.005,0.887,0.995
AQIR-Deep,sar,4x4,28.68,0.201,0.887,0.799
AQIR-ADS,sar,2x2,43.012,0.953,0.98,0.047
AQIR-NoGrad,sar,2x2,54.151,0.994,0.98,0.006
AQIR-FixedRot,sar,2x2,6.26,0.028,0.98,0.972
AQIR-Deep,sar,2x2,48.131,0.977,0.98,0.023
AQIR-ADS,sar,4x4,36.28,0.807,0.887,0.193
AQIR-NoGrad,sar,4x4,38.241,0.903,0.887,0.097
AQIR-FixedRot,sar,4x4,6.064,0.012,0.887,0.988
AQIR-Deep,sar,4x4,29.083,0.474,0.887,0.526
AQIR-ADS,sar,2x2,46.37,0.975,0.98,0.025
AQIR-NoGrad,sar,2x2,44.609,0.968,0.98,0.032
AQIR-FixedRot,sar,2x2,6.278,0.049,0.98,0.951
AQIR-Deep,sar,2x2,39.527,0.892,0.98,0.108
AQIR-ADS,sar,4x4,29.475,0.554,0.887,0.446
AQIR-NoGrad,sar,4x4,30.742,0.641,0.887,0.359
AQIR-FixedRot,sar,4x4,6.452,0.041,0.887,0.959
AQIR-Deep,sar,4x4,35.563,0.905,0.887,0.095
AQIR-ADS,sar,2x2,45.7,0.946,0.98,0.054
AQIR-NoGrad,sar,2x2,47.162,0.954,0.98,0.046
AQIR-FixedRot,sar,2x2,6.279,0.039,0.98,0.961
AQIR-Deep,sar,2x2,39.38,0.819,0.98,0.181
AQIR-ADS,sar,4x4,36.039,0.81,0.887,0.19
AQIR-NoGrad,sar,4x4,32.598,0.604,0.887,0.396
AQIR-FixedRot,sar,4x4,6.279,0.028,0.887,0.972
AQIR-Deep,sar,4x4,29.588,0.426,0.887,0.574
AQIR-ADS,sar,2x2,54.151,0.993,0.98,0.007
AQIR-NoGrad,sar,2x2,100.0,1.0,0.98,0.0
AQIR-FixedRot,sar,2x2,6.227,0.031,0.98,0.969
AQIR-Deep,sar,2x2,39.38,0.857,0.98,0.143
AQIR-ADS,sar,4x4,32.478,0.564,0.887,0.436
AQIR-NoGrad,sar,4x4,33.929,0.711,0.887,0.289
AQIR-FixedRot,sar,4x4,6.27,0.015,0.887,0.985
AQIR-Deep,sar,4x4,28.345,0.328,0.887,0.672
AQIR-ADS,sar,2x2,46.37,0.976,0.98,0.024
AQIR-NoGrad,sar,2x2,51.141,0.992,0.98,0.008
AQIR-FixedRot,sar,2x2,6.174,0.019,0.98,0.981
AQIR-Deep,sar,2x2,51.141,0.992,0.98,0.008
AQIR-ADS,sar,4x4,29.284,0.368,0.887,0.632
AQIR-NoGrad,sar,4x4,34.974,0.614,0.887,0.386
AQIR-FixedRot,sar,4x4,6.157,0.009,0.887,0.991
AQIR-Deep,sar,4x4,28.136,0.179,0.887,0.821
AQIR-ADS,sar,2x2,48.131,0.967,0.98,0.033
AQIR-NoGrad,sar,2x2,54.151,0.99,0.98,0.01
AQIR-FixedRot,sar,2x2,6.156,0.018,0.98,0.982
AQIR-Deep,sar,2x2,48.131,0.967,0.98,0.033
AQIR-ADS,sar,4x4,37.227,0.673,0.887,0.327
AQIR-NoGrad,sar,4x4,34.044,0.604,0.887,0.396
AQIR-FixedRot,sar,4x4,6.358,0.009,0.887,0.991
AQIR-Deep,sar,4x4,31.039,0.397,0.887,0.603
AQIR-ADS,sar,2x2,100.0,1.0,0.98,0.0
AQIR-NoGrad,sar,2x2,48.131,0.96,0.98,0.04
AQIR-FixedRot,sar,2x2,6.191,0.018,0.98,0.982
AQIR-Deep,sar,2x2,43.012,0.87,0.98,0.13
AQIR-ADS,sar,4x4,29.453,0.299,0.887,0.701
AQIR-NoGrad,sar,4x4,30.176,0.315,0.887,0.685
AQIR-FixedRot,sar,4x4,6.19,0.012,0.887,0.988
AQIR-Deep,sar,4x4,26.874,0.138,0.887,0.862
AQIR-ADS,sar,2x2,49.38,0.984,0.98,0.016
AQIR-NoGrad,sar,2x2,43.737,0.929,0.98,0.071
AQIR-FixedRot,sar,2x2,6.174,0.022,0.98,0.978
AQIR-Deep,sar,2x2,40.002,0.811,0.98,0.189
AQIR-ADS,sar,4x4,36.461,0.792,0.887,0.208
AQIR-NoGrad,sar,4x4,33.156,0.509,0.887,0.491
AQIR-FixedRot,sar,4x4,6.278,0.013,0.887,0.987
AQIR-Deep,sar,4x4,27.19,0.146,0.887,0.854
AQIR-ADS,sar,2x2,48.131,0.96,0.98,0.04
AQIR-NoGrad,sar,2x2,54.151,0.99,0.98,0.01
AQIR-FixedRot,sar,2x2,6.207,0.016,0.98,0.984
AQIR-Deep,sar,2x2,46.37,0.917,0.98,0.083
AQIR-ADS,sar,4x4,30.606,0.347,0.887,0.653
AQIR-NoGrad,sar,4x4,30.069,0.349,0.887,0.651
AQIR-FixedRot,sar,4x4,6.058,0.006,0.887,0.994
AQIR-Deep,sar,4x4,33.807,0.568,0.887,0.432
AQIR-ADS,sar,2x2,51.141,0.976,0.98,0.024
AQIR-NoGrad,sar,2x2,46.37,0.961,0.98,0.039
AQIR-FixedRot,sar,2x2,6.28,0.032,0.98,0.968
AQIR-Deep,sar,2x2,51.141,0.992,0.98,0.008
AQIR-ADS,sar,4x4,35.67,0.712,0.887,0.288
AQIR-NoGrad,sar,4x4,37.454,0.822,0.887,0.178
AQIR-FixedRot,sar,4x4,6.243,0.014,0.887,0.986
AQIR-Deep,sar,4x4,29.472,0.358,0.887,0.642
AQIR-ADS,sar,2x2,51.141,0.971,0.98,0.029
AQIR-NoGrad,sar,2x2,51.141,0.992,0.98,0.008
AQIR-FixedRot,sar,2x2,6.139,0.015,0.98,0.985
AQIR-Deep,sar,2x2,44.609,0.922,0.98,0.078
AQIR-ADS,sar,4x4,34.806,0.608,0.887,0.392
AQIR-NoGrad,sar,4x4,32.598,0.411,0.887,0.589
AQIR-FixedRot,sar,4x4,6.299,0.007,0.887,0.993
AQIR-Deep,sar,4x4,30.176,0.379,0.887,0.621
AQIR-ADS,sar,2x2,54.151,0.995,0.98,0.005
AQIR-NoGrad,sar,2x2,51.141,0.995,0.98,0.005
AQIR-FixedRot,sar,2x2,6.272,0.026,0.98,0.974
AQIR-Deep,sar,2x2,42.11,0.9,0.98,0.1
AQIR-ADS,sar,4x4,35.067,0.788,0.887,0.212
AQIR-NoGrad,sar,4x4,32.206,0.605,0.887,0.395
AQIR-FixedRot,sar,4x4,6.301,0.012,0.887,0.988
AQIR-Deep,sar,4x4,25.634,0.259,0.887,0.741
AQIR-ADS,sar,2x2,100.0,1.0,0.98,0.0
AQIR-NoGrad,sar,2x2,46.37,0.983,0.98,0.017
AQIR-FixedRot,sar,2x2,6.204,0.029,0.98,0.971
AQIR-Deep,sar,2x2,49.38,0.974,0.98,0.026
AQIR-ADS,sar,4x4,29.834,0.488,0.887,0.512
AQIR-NoGrad,sar,4x4,34.49,0.779,0.887,0.221
AQIR-FixedRot,sar,4x4,6.256,0.023,0.887,0.977
AQIR-Deep,sar,4x4,33.728,0.681,0.887,0.319
AQIR-ADS,sar,2x2,47.162,0.978,0.98,0.022
AQIR-NoGrad,sar,2x2,48.131,0.964,0.98,0.036
AQIR-FixedRot,sar,2x2,6.226,0.022,0.98,0.978
AQIR-Deep,sar,2x2,47.162,0.977,0.98,0.023
AQIR-ADS,sar,4x4,35.578,0.646,0.887,0.354
AQIR-NoGrad,sar,4x4,30.787,0.432,0.887,0.568
AQIR-FixedRot,sar,4x4,6.282,0.011,0.887,0.989
AQIR-Deep,sar,4x4,25.272,0.085,0.887,0.915
AQIR-ADS,sar,2x2,49.38,0.982,0.98,0.018
AQIR-NoGrad,sar,2x2,46.37,0.977,0.98,0.023
AQIR-FixedRot,sar,2x2,6.175,0.02,0.98,0.98
AQIR-Deep,sar,2x2,38.588,0.685,0.98,0.315
AQIR-ADS,sar,4x4,38.213,0.747,0.887,0.253
AQIR-NoGrad,sar,4x4,30.888,0.336,0.887,0.664
AQIR-FixedRot,sar,4x4,6.018,0.01,0.887,0.99
AQIR-Deep,sar,4x4,26.532,0.169,0.887,0.831
AQIR-ADS,sar,2x2,51.141,0.992,0.98,0.008
AQIR-NoGrad,sar,2x2,51.141,0.967,0.98,0.033
AQIR-FixedRot,sar,2x2,6.175,0.02,0.98,0.98
AQIR-Deep,sar,2x2,37.619,0.804,0.98,0.196
AQIR-ADS,sar,4x4,34.682,0.557,0.887,0.443
AQIR-NoGrad,sar,4x4,35.67,0.718,0.887,0.282
AQIR-FixedRot,sar,4x4,6.29,0.011,0.887,0.989
AQIR-Deep,sar,4x4,29.026,0.25,0.887,0.75
AQIR-ADS,sar,2x2,44.151,0.845,0.98,0.155
AQIR-NoGrad,sar,2x2,54.151,0.989,0.98,0.011
AQIR-FixedRot,sar,2x2,6.175,0.016,0.98,0.984
AQIR-Deep,sar,2x2,44.151,0.845,0.98,0.155
AQIR-ADS,sar,4x4,30.762,0.317,0.887,0.683
AQIR-NoGrad,sar,4x4,38.077,0.751,0.887,0.249
AQIR-FixedRot,sar,4x4,5.864,0.007,0.887,0.993
AQIR-Deep,sar,4x4,23.701,0.094,0.887,0.906
AQIR-ADS,sar,2x2,100.0,1.0,0.98,0.0
AQIR-NoGrad,sar,2x2,43.012,0.94,0.98,0.06
AQIR-FixedRot,sar,2x2,6.123,0.012,0.98,0.988
AQIR-Deep,sar,2x2,44.151,0.929,0.98,0.071
AQIR-ADS,sar,4x4,36.498,0.756,0.887,0.244
AQIR-NoGrad,sar,4x4,34.317,0.461,0.887,0.539
AQIR-FixedRot,sar,4x4,6.191,0.006,0.887,0.994
AQIR-Deep,sar,4x4,36.574,0.611,0.887,0.389
AQIR-ADS,sar,2x2,48.131,0.956,0.98,0.044
AQIR-NoGrad,sar,2x2,46.37,0.948,0.98,0.052
AQIR-FixedRot,sar,2x2,6.123,0.008,0.98,0.992
AQIR-Deep,sar,2x2,40.929,0.715,0.98,0.285
AQIR-ADS,sar,4x4,44.261,0.911,0.887,0.089
AQIR-NoGrad,sar,4x4,32.621,0.342,0.887,0.658
AQIR-FixedRot,sar,4x4,5.945,0.004,0.887,0.996
AQIR-Deep,sar,4x4,29.645,0.184,0.887,0.816
AQIR-ADS,sar,2x2,46.37,0.948,0.98,0.052
AQIR-NoGrad,sar,2x2,46.37,0.906,0.98,0.094
AQIR-FixedRot,sar,2x2,6.175,0.016,0.98,0.984
AQIR-Deep,sar,2x2,47.162,0.973,0.98,0.027
AQIR-ADS,sar,4x4,34.609,0.547,0.887,0.453
AQIR-NoGrad,sar,4x4,37.43,0.663,0.887,0.337
AQIR-FixedRot,sar,4x4,6.108,0.008,0.887,0.992
AQIR-Deep,sar,4x4,30.185,0.261,0.887,0.739
AQIR-ADS,sar,2x2,44.151,0.929,0.98,0.071
AQIR-NoGrad,sar,2x2,100.0,1.0,0.98,0.0
AQIR-FixedRot,sar,2x2,6.158,0.012,0.98,0.988
AQIR-Deep,sar,2x2,54.151,0.988,0.98,0.012
AQIR-ADS,sar,4x4,36.227,0.572,0.887,0.428
AQIR-NoGrad,sar,4x4,32.721,0.415,0.887,0.585
AQIR-FixedRot,sar,4x4,6.013,0.006,0.887,0.994
AQIR-Deep,sar,4x4,26.136,0.134,0.887,0.866
AQIR-ADS,sar,2x2,54.151,0.989,0.98,0.011
AQIR-NoGrad,sar,2x2,48.131,0.956,0.98,0.044
AQIR-FixedRot,sar,2x2,6.227,0.016,0.98,0.984
AQIR-Deep,sar,2x2,54.151,0.989,0.98,0.011
AQIR-ADS,sar,4x4,39.919,0.791,0.887,0.209
AQIR-NoGrad,sar,4x4,35.593,0.622,0.887,0.378
AQIR-FixedRot,sar,4x4,6.224,0.009,0.887,0.991
AQIR-Deep,sar,4x4,27.845,0.146,0.887,0.854
AQIR-ADS,sar,2x2,51.141,0.971,0.98,0.029
AQIR-NoGrad,sar,2x2,54.151,0.989,0.98,0.011
AQIR-FixedRot,sar,2x2,6.106,0.016,0.98,0.984
AQIR-Deep,sar,2x2,39.38,0.719,0.98,0.281
AQIR-ADS,sar,4x4,41.977,0.878,0.887,0.122
AQIR-NoGrad,sar,4x4,34.525,0.529,0.887,0.471
AQIR-FixedRot,sar,4x4,6.145,0.005,0.887,0.995
AQIR-Deep,sar,4x4,28.255,0.213,0.887,0.787
AQIR-ADS,sar,2x2,54.151,0.988,0.98,0.012
AQIR-NoGrad,sar,2x2,54.151,0.989,0.98,0.011
AQIR-FixedRot,sar,2x2,6.071,0.012,0.98,0.988
AQIR-Deep,sar,2x2,45.121,0.887,0.98,0.113
AQIR-ADS,sar,4x4,41.307,0.835,0.887,0.165
AQIR-NoGrad,sar,4x4,33.037,0.386,0.887,0.614
AQIR-FixedRot,sar,4x4,5.92,0.006,0.887,0.994
AQIR-Deep,sar,4x4,26.825,0.101,0.887,0.899
AQIR-ADS,sar,2x2,100.0,1.0,0.98,0.0
AQIR-NoGrad,sar,2x2,54.151,0.989,0.98,0.011
AQIR-FixedRot,sar,2x2,6.123,0.012,0.98,0.988
AQIR-Deep,sar,2x2,41.599,0.927,0.98,0.073
AQIR-ADS,sar,4x4,30.255,0.21,0.887,0.79
AQIR-NoGrad,sar,4x4,32.262,0.313,0.887,0.687
AQIR-FixedRot,sar,4x4,6.076,0.005,0.887,0.995
AQIR-Deep,sar,4x4,25.201,0.06,0.887,0.94
AQIR-ADS,sar,2x2,48.131,0.971,0.98,0.029
AQIR-NoGrad,sar,2x2,44.609,0.918,0.98,0.082
AQIR-FixedRot,sar,2x2,6.155,0.027,0.98,0.973
AQIR-Deep,sar,2x2,44.151,0.957,0.98,0.043
AQIR-ADS,sar,4x4,37.945,0.85,0.887,0.15
AQIR-NoGrad,sar,4x4,34.162,0.762,0.887,0.238
AQIR-FixedRot,sar,4x4,6.463,0.003,0.887,0.997
AQIR-Deep,sar,4x4,29.398,0.459,0.887,0.541
AQIR-ADS,sar,2x2,49.38,0.989,0.98,0.011
AQIR-NoGrad,sar,2x2,46.37,0.981,0.98,0.019
AQIR-FixedRot,sar,2x2,6.262,0.042,0.98,0.958
AQIR-Deep,sar,2x2,43.737,0.954,0.98,0.046
AQIR-ADS,sar,4x4,38.325,0.933,0.887,0.067
AQIR-NoGrad,sar,4x4,34.896,0.842,0.887,0.158
AQIR-FixedRot,sar,4x4,6.305,0.018,0.887,0.982
AQIR-Deep,sar,4x4,30.065,0.527,0.887,0.473
AQIR-ADS,sar,2x2,51.141,0.97,0.98,0.03
AQIR-NoGrad,sar,2x2,44.609,0.956,0.98,0.044
AQIR-FixedRot,sar,2x2,6.262,0.016,0.98,0.984
AQIR-Deep,sar,2x2,45.7,0.964,0.98,0.036
AQIR-ADS,sar,4x4,33.451,0.529,0.887,0.471
AQIR-NoGrad,sar,4x4,35.43,0.63,0.887,0.37
AQIR-FixedRot,sar,4x4,6.139,0.009,0.887,0.991
AQIR-Deep,sar,4x4,29.512,0.246,0.887,0.754
AQIR-ADS,sar,2x2,47.162,0.944,0.98,0.056
AQIR-NoGrad,sar,2x2,54.151,0.99,0.98,0.01
AQIR-FixedRot,sar,2x2,6.156,0.018,0.98,0.982
AQIR-Deep,sar,2x2,43.012,0.871,0.98,0.129
AQIR-ADS,sar,4x4,35.121,0.586,0.887,0.414
AQIR-NoGrad,sar,4x4,34.119,0.578,0.887,0.422
AQIR-FixedRot,sar,4x4,6.225,0.01,0.887,0.99
AQIR-Deep,sar,4x4,24.891,0.119,0.887,0.881
AQIR-ADS,sar,2x2,44.151,0.937,0.98,0.063
AQIR-NoGrad,sar,2x2,47.162,0.944,0.98,0.056
AQIR-FixedRot,sar,2x2,6.191,0.018,0.98,0.982
AQIR-Deep,sar,2x2,44.151,0.905,0.98,0.095
AQIR-ADS,sar,4x4,37.547,0.748,0.887,0.252
AQIR-NoGrad,sar,4x4,38.158,0.743,0.887,0.257
AQIR-FixedRot,sar,4x4,5.985,0.008,0.887,0.992
AQIR-Deep,sar,4x4,25.951,0.133,0.887,0.867
AQIR-ADS,sar,2x2,100.0,1.0,0.98,0.0
AQIR-NoGrad,sar,2x2,48.131,0.96,0.98,0.04
AQIR-FixedRot,sar,2x2,6.139,0.018,0.98,0.982
AQIR-Deep,sar,2x2,38.354,0.687,0.98,0.313
AQIR-ADS,sar,4x4,35.972,0.704,0.887,0.296
AQIR-NoGrad,sar,4x4,33.868,0.581,0.887,0.419
AQIR-FixedRot,sar,4x4,6.071,0.009,0.887,0.991
AQIR-Deep,sar,4x4,39.273,0.906,0.887,0.094
AQIR-ADS,sar,2x2,100.0,1.0,0.98,0.0
AQIR-NoGrad,sar,2x2,54.151,0.992,0.98,0.008
AQIR-FixedRot,sar,2x2,6.227,0.023,0.98,0.977
AQIR-Deep,sar,2x2,49.38,0.985,0.98,0.015
AQIR-ADS,sar,4x4,32.698,0.501,0.887,0.499
AQIR-NoGrad,sar,4x4,37.43,0.822,0.887,0.178
AQIR-FixedRot,sar,4x4,6.391,0.012,0.887,0.988
AQIR-Deep,sar,4x4,28.84,0.28,0.887,0.72
AQIR-ADS,sar,2x2,46.37,0.955,0.98,0.045
AQIR-NoGrad,sar,2x2,54.151,0.991,0.98,0.009
AQIR-FixedRot,sar,2x2,6.172,0.02,0.98,0.98
AQIR-Deep,sar,2x2,42.11,0.897,0.98,0.103
AQIR-ADS,sar,4x4,39.1,0.844,0.887,0.156
AQIR-NoGrad,sar,4x4,35.654,0.692,0.887,0.308
AQIR-FixedRot,sar,4x4,6.248,0.01,0.887,0.99
AQIR-Deep,sar,4x4,26.54,0.196,0.887,0.804
AQIR-ADS,sar,2x2,47.162,0.97,0.98,0.03
AQIR-NoGrad,sar,2x2,49.38,0.987,0.98,0.013
AQIR-FixedRot,sar,2x2,6.297,0.042,0.98,0.958
AQIR-Deep,sar,2x2,51.141,0.983,0.98,0.017
AQIR-ADS,sar,4x4,30.413,0.507,0.887,0.493
AQIR-NoGrad,sar,4x4,32.144,0.685,0.887,0.315
AQIR-FixedRot,sar,4x4,6.365,0.01,0.887,0.99
AQIR-Deep,sar,4x4,32.405,0.701,0.887,0.299
AQIR-ADS,sar,2x2,48.131,0.964,0.98,0.036
AQIR-NoGrad,sar,2x2,54.151,0.992,0.98,0.008
AQIR-FixedRot,sar,2x2,6.19,0.021,0.98,0.979
AQIR-Deep,sar,2x2,45.121,0.971,0.98,0.029
AQIR-ADS,sar,4x4,32.124,0.549,0.887,0.451
AQIR-NoGrad,sar,4x4,35.217,0.65,0.887,0.35
AQIR-FixedRot,sar,4x4,6.242,0.008,0.887,0.992
AQIR-Deep,sar,4x4,26.882,0.275,0.887,0.725
AQIR-ADS,sar,2x2,100.0,1.0,0.98,0.0
AQIR-NoGrad,sar,2x2,47.162,0.983,0.98,0.017
AQIR-FixedRot,sar,2x2,6.241,0.033,0.98,0.967
AQIR-Deep,sar,2x2,42.69,0.933,0.98,0.067
AQIR-ADS,sar,4x4,37.5,0.851,0.887,0.149
AQIR-NoGrad,sar,4x4,35.923,0.822,0.887,0.178
AQIR-FixedRot,sar,4x4,6.27,0.002,0.887,0.998
AQIR-Deep,sar,4x4,26.286,0.399,0.887,0.601
AQIR-ADS,sar,2x2,51.141,0.986,0.98,0.014
AQIR-NoGrad,sar,2x2,54.151,0.995,0.98,0.005
AQIR-FixedRot,sar,2x2,6.293,0.033,0.98,0.967
AQIR-Deep,sar,2x2,54.151,0.994,0.98,0.006
AQIR-ADS,sar,4x4,32.53,0.683,0.887,0.317
AQIR-NoGrad,sar,4x4,34.284,0.744,0.887,0.256
AQIR-FixedRot,sar,4x4,6.413,0.022,0.887,0.978
AQIR-Deep,sar,4x4,28.885,0.46,0.887,0.54
AQIR-ADS,sar,2x2,51.141,0.967,0.98,0.033
AQIR-NoGrad,sar,2x2,43.737,0.899,0.98,0.101
AQIR-FixedRot,sar,2x2,6.21,0.02,0.98,0.98
AQIR-Deep,sar,2x2,42.69,0.927,0.98,0.073
